id,timestamp,Date,Time,Activity,Place
1,2024-07-29 18:34:44,2024-07-29,18:34:44,Lie,Room
2,2024-07-29 18:34:45,2024-07-29,18:34:45,Lie,Room
3,2024-07-29 18:34:46,2024-07-29,18:34:46,Lie,Room
4,2024-07-29 18:34:47,2024-07-29,18:34:47,Lie,Room
5,2024-07-29 18:34:47,2024-07-29,18:34:47,Lie,Room
6,2024-07-29 18:34:48,2024-07-29,18:34:48,Lie,Room
7,2024-07-29 18:34:49,2024-07-29,18:34:49,Lie,Room
8,2024-07-29 18:34:50,2024-07-29,18:34:50,Lie,Room
9,2024-07-29 18:34:50,2024-07-29,18:34:50,Lie,Room
10,2024-07-29 18:34:51,2024-07-29,18:34:51,Lie,Room
11,2024-07-29 18:34:52,2024-07-29,18:34:52,Lie,Room
12,2024-07-29 18:34:53,2024-07-29,18:34:53,Lie,Room
13,2024-07-29 18:34:53,2024-07-29,18:34:53,Lie,Room
14,2024-07-29 18:34:54,2024-07-29,18:34:54,Lie,Room
15,2024-07-29 18:34:55,2024-07-29,18:34:55,Lie,Room
16,2024-07-29 18:34:56,2024-07-29,18:34:56,Lie,Room
17,2024-07-29 18:34:56,2024-07-29,18:34:56,Lie,Room
18,2024-07-29 18:34:57,2024-07-29,18:34:57,Lie,Room
19,2024-07-29 18:34:58,2024-07-29,18:34:58,Lie,Room
20,2024-07-29 18:34:59,2024-07-29,18:34:59,Lie,Room
21,2024-07-29 18:34:59,2024-07-29,18:34:59,Lie,Room
22,2024-07-29 18:35:00,2024-07-29,18:35:00,Lie,Room
23,2024-07-29 18:35:01,2024-07-29,18:35:01,Lie,Room
24,2024-07-29 18:35:02,2024-07-29,18:35:02,Lie,Room
25,2024-07-29 18:35:02,2024-07-29,18:35:02,Lie,Room
26,2024-07-29 18:35:03,2024-07-29,18:35:03,Lie,Room
27,2024-07-29 18:35:04,2024-07-29,18:35:04,Lie,Room
28,2024-07-29 18:35:05,2024-07-29,18:35:05,Lie,Room
29,2024-07-29 18:35:05,2024-07-29,18:35:05,Lie,Room
30,2024-07-29 18:35:06,2024-07-29,18:35:06,Lie,Room
31,2024-07-29 18:35:07,2024-07-29,18:35:07,Lie,Room
32,2024-07-29 18:35:08,2024-07-29,18:35:08,Lie,Room
33,2024-07-29 18:35:08,2024-07-29,18:35:08,Lie,Room
34,2024-07-29 18:35:09,2024-07-29,18:35:09,Lie,Room
35,2024-07-29 18:35:10,2024-07-29,18:35:10,Lie,Room
36,2024-07-29 18:35:11,2024-07-29,18:35:11,Lie,Room
37,2024-07-29 18:35:11,2024-07-29,18:35:11,Lie,Room
38,2024-07-29 18:35:12,2024-07-29,18:35:12,Lie,Room
39,2024-07-29 18:35:13,2024-07-29,18:35:13,Lie,Room
40,2024-07-29 18:35:14,2024-07-29,18:35:14,Lie,Room
41,2024-07-29 18:35:14,2024-07-29,18:35:14,Lie,Room
42,2024-07-29 18:35:15,2024-07-29,18:35:15,Lie,Room
43,2024-07-29 18:35:16,2024-07-29,18:35:16,Lie,Room
44,2024-07-29 18:35:17,2024-07-29,18:35:17,Lie,Room
45,2024-07-29 18:35:17,2024-07-29,18:35:17,Lie,Room
46,2024-07-29 18:35:18,2024-07-29,18:35:18,Lie,Room
47,2024-07-29 18:35:19,2024-07-29,18:35:19,Lie,Room
48,2024-07-29 18:35:20,2024-07-29,18:35:20,Lie,Room
49,2024-07-29 18:35:20,2024-07-29,18:35:20,Lie,Room
50,2024-07-29 18:35:21,2024-07-29,18:35:21,Lie,Room
51,2024-07-29 18:35:22,2024-07-29,18:35:22,Lie,Room
52,2024-07-29 18:35:23,2024-07-29,18:35:23,Lie,Room
53,2024-07-29 18:35:23,2024-07-29,18:35:23,Lie,Room
54,2024-07-29 18:35:24,2024-07-29,18:35:24,Lie,Room
55,2024-07-29 18:35:25,2024-07-29,18:35:25,Lie,Room
56,2024-07-29 18:35:26,2024-07-29,18:35:26,Lie,Room
57,2024-07-29 18:35:26,2024-07-29,18:35:26,Lie,Room
58,2024-07-29 18:35:27,2024-07-29,18:35:27,Lie,Room
59,2024-07-29 18:35:28,2024-07-29,18:35:28,Lie,Room
60,2024-07-29 18:35:29,2024-07-29,18:35:29,Lie,Room
61,2024-07-29 18:35:29,2024-07-29,18:35:29,Lie,Room
62,2024-07-29 18:35:30,2024-07-29,18:35:30,Lie,Room
63,2024-07-29 18:35:31,2024-07-29,18:35:31,Lie,Room
64,2024-07-29 18:35:32,2024-07-29,18:35:32,Lie,Room
65,2024-07-29 18:35:32,2024-07-29,18:35:32,Lie,Room
66,2024-07-29 18:35:33,2024-07-29,18:35:33,Lie,Room
67,2024-07-29 18:35:34,2024-07-29,18:35:34,Lie,Room
68,2024-07-29 18:35:35,2024-07-29,18:35:35,Lie,Room
69,2024-07-29 18:35:35,2024-07-29,18:35:35,Lie,Room
70,2024-07-29 18:35:36,2024-07-29,18:35:36,Lie,Room
71,2024-07-29 18:35:37,2024-07-29,18:35:37,Lie,Room
72,2024-07-29 18:35:38,2024-07-29,18:35:38,Lie,Room
73,2024-07-29 18:35:38,2024-07-29,18:35:38,Lie,Room
74,2024-07-29 18:35:39,2024-07-29,18:35:39,Lie,Room
75,2024-07-29 18:35:40,2024-07-29,18:35:40,Lie,Room
76,2024-07-29 18:35:41,2024-07-29,18:35:41,Lie,Room
77,2024-07-29 18:35:41,2024-07-29,18:35:41,Lie,Room
78,2024-07-29 18:35:42,2024-07-29,18:35:42,Lie,Room
79,2024-07-29 18:35:43,2024-07-29,18:35:43,Lie,Room
80,2024-07-29 18:35:44,2024-07-29,18:35:44,Lie,Room
81,2024-07-29 18:35:44,2024-07-29,18:35:44,Lie,Room
82,2024-07-29 18:35:45,2024-07-29,18:35:45,Lie,Room
83,2024-07-29 18:35:46,2024-07-29,18:35:46,Lie,Room
84,2024-07-29 18:35:47,2024-07-29,18:35:47,Lie,Room
85,2024-07-29 18:35:47,2024-07-29,18:35:47,Lie,Room
86,2024-07-29 18:35:48,2024-07-29,18:35:48,Lie,Room
87,2024-07-29 18:35:49,2024-07-29,18:35:49,Lie,Room
88,2024-07-29 18:35:50,2024-07-29,18:35:50,Lie,Room
89,2024-07-29 18:35:50,2024-07-29,18:35:50,Lie,Room
90,2024-07-29 18:35:51,2024-07-29,18:35:51,Lie,Room
91,2024-07-29 18:35:52,2024-07-29,18:35:52,Lie,Room
92,2024-07-29 18:35:53,2024-07-29,18:35:53,Lie,Room
93,2024-07-29 18:35:53,2024-07-29,18:35:53,Lie,Room
94,2024-07-29 18:35:54,2024-07-29,18:35:54,Lie,Room
95,2024-07-29 18:35:55,2024-07-29,18:35:55,Lie,Room
96,2024-07-29 18:35:56,2024-07-29,18:35:56,Lie,Room
97,2024-07-29 18:35:56,2024-07-29,18:35:56,Lie,Room
98,2024-07-29 18:35:57,2024-07-29,18:35:57,Lie,Room
99,2024-07-29 18:35:58,2024-07-29,18:35:58,Lie,Room
100,2024-07-29 18:35:59,2024-07-29,18:35:59,Lie,Room
101,2024-07-29 18:35:59,2024-07-29,18:35:59,Lie,Room
102,2024-07-29 18:36:00,2024-07-29,18:36:00,Lie,Room
103,2024-07-29 18:36:01,2024-07-29,18:36:01,Lie,Room
104,2024-07-29 18:36:02,2024-07-29,18:36:02,Lie,Room
105,2024-07-29 18:36:02,2024-07-29,18:36:02,Lie,Room
106,2024-07-29 18:36:03,2024-07-29,18:36:03,Lie,Room
107,2024-07-29 18:36:04,2024-07-29,18:36:04,Lie,Room
108,2024-07-29 18:36:05,2024-07-29,18:36:05,Lie,Room
109,2024-07-29 18:36:05,2024-07-29,18:36:05,Lie,Room
110,2024-07-29 18:36:06,2024-07-29,18:36:06,Lie,Room
111,2024-07-29 18:36:07,2024-07-29,18:36:07,Lie,Room
112,2024-07-29 18:36:08,2024-07-29,18:36:08,Lie,Room
113,2024-07-29 18:36:08,2024-07-29,18:36:08,Lie,Room
